image,SAM_IoU,YOLO_IoU
cju7dsrtb2f8i085064kwugfk.jpg,0.9002664495596181,0.8642729
cju7dwe282dc309876rco45ts.jpg,0.9065757197180402,0.96150035
cju7dxffn2eam0817qxosfwch.jpg,0.48924923557348254,0.42935494
cju7etr3y2p4t0801cdzjj8ab.jpg,0.7840619364467384,0.81661284
cju7ey10f2rvf0871bwbi9x82.jpg,0.8970520919161402,0.9367745
cju7fbndk2sl608015ravktum.jpg,0.9274309344667164,0.96601194
cju84dsvaklpx098750hp83x4.jpg,0.5506618347298653,0.78375846
cju84ffdzkrjn08183jh1fxmb.jpg,0.7980386147716825,0.7355471
cju84hibuktj80871u519o71q.jpg,0.9414393660154811,0.8867041
cju85qefyln6v0850szeb9byi.jpg,0.8832208030748823,0.4636897
cju87nkyrnb970801q84m47yt.jpg,0.7527903776565924,0.77564704
cju887ftknop008177nnjt46y.jpg,0.8654099759522147,0.84599537
cju88k75inzyb0850ccv5x3vk.jpg,0.9143468070233151,0.701571
cju88t4fvokxf07558ymyh281.jpg,0.9153878058896724,0.92467415
cju88z8bson4h0871nnd7fdxo.jpg,0.9460275407411971,0.9253624
cju892fesoq2g0801n0e0jyia.jpg,0.8848247332897888,0.9704108
cju8apjewqrk00801k5d71gky.jpg,0.9394236798342466,0.96374506
cju8axq24r4an0755yhv9d4ly.jpg,0.9144151703305924,0.84196687
cju8c2rqzs5t80850d0zky5dy.jpg,0.6272058171499513,0.6436347
cju8c9akjsdjj0850s67uzlxq.jpg,0.9513538320330427,0.95494366
cju8clorgsuwn08714toqb7v6.jpg,0.8876138206311588,0.82462317
cjyzk8qieoboa0848ogj51wwm.jpg,0.8109370202735493,0.8976963
cjyztzaqtrv430848l8xgcerw.jpg,0.9099837968614742,0.8632478
cjyzufihqquiw0a46jatrbwln.jpg,0.8872627178901553,0.9438759
cjz14qsk2wci60794un9ozwmw.jpg,0.9600151362260343,0.9661283
